"id","code","name","url","country","region","latitude","longitude","created_at","updated_at"
894,"my","Mayotte","null","YT","",-12.8275,45.166244,"2018-03-18 23:12:34",
826,"aa","Aix-en-Provence - Arles","http://catho-aixarles.fr","FR","Provence-Alpes-Côte d'Azur",43.9351691,6.0679194,"2018-03-18 23:12:34",
827,"ab","Albi","http://catholique-tarn.cef.fr/","FR","Occitanie",44.0859426,1.5208624,"2018-03-18 23:12:34",
828,"ac","Autun - Chalon - Mâcon","http://www.autun.catholique.fr","FR","Bourgogne-Franche-Comté",47.0525047,4.3837215,"2018-03-18 23:12:34",
829,"ad","Aire - Dax","http://landes.catholique.fr/","FR","Nouvelle-Aquitaine",44.7002222,-0.2995785,"2018-03-18 23:12:34",
830,"ag","Agen","http://catholique-agen.cef.fr/","FR","Nouvelle-Aquitaine",44.7002222,-0.2995785,"2018-03-18 23:12:34",
831,"aj","Ajaccio","http://www.corse.catholique.fr","FR","Corsica",42.0396042,9.0128926,"2018-03-18 23:12:34",
832,"al","Angoulême","http://angouleme.catholique.fr/","FR","Nouvelle-Aquitaine",45.903552,-0.3091837,"2018-03-18 23:12:34",
833,"am","Amiens","http://amiens.catholique.fr","FR","Hauts-de-France",49.6636127,2.5280732,"2018-03-18 23:12:34",
834,"an","Angers","http://catholique-angers.cef.fr/","FR","Pays de la Loire",47.7632836,-0.3299687,"2018-03-18 23:12:34",
835,"ar","Arras","http://www.arras.catholique.fr/","FR","Hauts-de-France",50.4801153,2.7937265,"2018-03-18 23:12:34",
836,"au","Auch","http://auch.catholique.fr/","FR","Occitanie",44.0859426,1.5208624,"2018-03-18 23:12:34",
837,"av","Avignon","http://diocese-avignon.fr","FR","Provence-Alpes-Côte d'Azur",43.9351691,6.0679194,"2018-03-18 23:12:34",
838,"ay","Annecy","http://www.diocese-annecy.fr/","FR","Auvergne-Rhône-Alpes",45.1695797,5.4502821,"2018-03-18 23:12:34",
839,"ba","Belley - Ars","http://catholique-belley-ars.cef.fr/","FR","Auvergne-Rhône-Alpes",45.1695797,5.4502821,"2018-03-18 23:12:34",
840,"bb","Bordeaux - Bazas","http://www.bordeaux.catholique.fr","FR","Nouvelle-Aquitaine",44.7002222,-0.2995785,"2018-03-18 23:12:34",
841,"be","Besançon","http://catholique-besancon.cef.fr/","FR","Bourgogne-Franche-Comté",47.1343207,6.0223016,"2018-03-18 23:12:34",
842,"bl","Bayeux - Lisieux","http://www.bayeuxlisieux.catholique.fr","FR","Normandy",48.8788472,-0.5157492,"2018-03-18 23:12:34",
843,"bm","Belfort - Monbéliard","http://catholique-belfort-montbe.cef.fr/","FR","Bourgogne-Franche-Comté",47.1343207,6.0223016,"2018-03-18 23:12:34",
844,"bo","Bourges","http://catholique-bourges.cef.fr/","FR","Centre-Val de Loire",47.7515686,1.6750631,"2018-03-18 23:12:34",
845,"br","Saint-Brieuc","http://saintbrieuc-treguier.catholique.fr/","FR","Brittany",48.2020471,-2.9326435,"2018-03-18 23:12:34",
846,"bs","Blois","http://www.catholique-blois.net/","FR","Centre-Val de Loire",47.7515686,1.6750631,"2018-03-18 23:12:34",
847,"bt","Basse-Terre (Guadeloupe)","http://www.catholique-guadeloupe.info/","GP","Basse-Terre",16.0341215,-61.6947193,"2018-03-18 23:12:34",
895,"na","Nantes","http://catholique-nantes.cef.fr/","FR","Pays de la Loire",47.7632836,-0.3299687,"2018-03-18 23:12:34",
848,"bv","Beauvais - Noyon - Senlis","http://www.oise.catholique.fr/","FR","Hauts-de-France",49.6636127,2.5280732,"2018-03-18 23:12:34",
849,"by","Bayonne - Lescar - Oloron","http://diocese64.org","FR","Nouvelle-Aquitaine",44.7002222,-0.2995785,"2018-03-18 23:12:34",
850,"ca","Coutances - Avranches","http://www.coutances.catholique.fr/","FR","Normandy",48.8788472,-0.5157492,"2018-03-18 23:12:34",
851,"cb","Cambrai","http://catholique-cambrai.cef.fr/","FR","Hauts-de-France",50.4801153,2.7937265,"2018-03-18 23:12:34",
852,"cc","Diocèse de Châlons-en-Champagne","http://chalons.catholique.fr","FR","Centre-Val de Loire",47.7515686,1.6750631,"2018-03-18 23:12:34",
853,"cd","Saint-Claude","http://www.eglisejura.com/","FR","Bourgogne-Franche-Comté",47.1343207,6.0223016,"2018-03-18 23:12:34",
854,"ch","Chartres","http://catholique-chartres.cef.fr/","FR","Centre-Val de Loire",47.7515686,1.6750631,"2018-03-18 23:12:34",
855,"cl","Clermont","http://clermont.catholique.fr/","FR","Auvergne-Rhône-Alpes",45.7032695,3.3448536,"2018-03-18 23:12:34",
856,"cm","Chambéry - Maurienne - Tarentaise","http://catholique-savoie.cef.fr/","FR","Auvergne-Rhône-Alpes",45.1695797,5.4502821,"2018-03-18 23:12:34",
857,"cn","Carcassonne","http://www.aude.catholique.fr","FR","Occitanie",43.5912356,3.2583626,"2018-03-18 23:12:34",
858,"cr","Créteil","http://catholiques-val-de-marne.cef.fr/","FR","Île-de-France",48.8499198,2.6370411,"2018-03-18 23:12:34",
859,"cs","Cahors","http://www.cahors.catholique.fr/","FR","Occitanie",44.0859426,1.5208624,"2018-03-18 23:12:34",
860,"cy","Cayenne (Guyane Française)","http://www.guyane.catholique.fr/","GF","Cayenne",4.92242,-52.3134531,"2018-03-18 23:12:34",
861,"da","Diocèse aux Armées","http://www.dioceseauxarmees.fr",,,,,"2018-03-18 23:12:34",
862,"dg","Digne - Riez - Sisteron","http://catho04.cef.fr/","FR","Provence-Alpes-Côte d'Azur",43.9351691,6.0679194,"2018-03-18 23:12:34",
863,"di","Saint-Dié","https://www.catholique88.fr","FR","Grand Est",48.8744233,6.2080932,"2018-03-18 23:12:34",
864,"dj","Dijon","http://catholique-dijon.cef.fr/","FR","Bourgogne-Franche-Comté",47.0525047,4.3837215,"2018-03-18 23:12:34",
865,"dn","Saint-Denis","http://saint-denis.catholique.fr/","FR","Île-de-France",48.8499198,2.6370411,"2018-03-18 23:12:34",
866,"ea","Exarchat Apostolique pour les Ukrainiens","http://eglise.ukrainienne.free.fr",,,,,"2018-03-18 23:12:34",
867,"ep","Eparchie Ste Croix de Paris Arméniens catholiques","http://www.armeniancatholic.org/",,,,,"2018-03-18 23:12:34",
868,"et","Saint-Etienne","http://www.saint-etienne.catholique.fr","FR","Auvergne-Rhône-Alpes",45.1695797,5.4502821,"2018-03-18 23:12:34",
869,"ex","Evreux","http://www.evreux.catholique.fr","FR","Normandy",49.524641,0.8828329,"2018-03-18 23:12:34",
870,"ey","Evry - Corbeil-Essonnes","http://www.evry.catholique.fr","FR","Île-de-France",48.8499198,2.6370411,"2018-03-18 23:12:34",
871,"ft","Fréjus-Toulon","http://www.diocese-frejus-toulon.com/","FR","Provence-Alpes-Côte d'Azur",43.9351691,6.0679194,"2018-03-18 23:12:34",
872,"ga","Gap - Embrun","http://diocesedegap.over-blog.com","FR","Provence-Alpes-Côte d'Azur",43.9351691,6.0679194,"2018-03-18 23:12:34",
873,"gr","Diocèse Grenoble-Vienne","http://www.diocese-grenoble-vienne.fr","FR","Auvergne-Rhône-Alpes",45.1695797,5.4502821,"2018-03-18 23:12:34",
874,"lg","Langres","http://catholique-hautemarne.cef.fr/","FR","Grand Est",48.7934092,4.4725249,"2018-03-18 23:12:34",
875,"lh","Le Havre","http://www.lehavre.catholique.fr/","FR","Normandy",49.524641,0.8828329,"2018-03-18 23:12:34",
876,"li","Lille","http://www.lille.catholique.fr/","FR","Hauts-de-France",50.4801153,2.7937265,"2018-03-18 23:12:34",
877,"lm","Le Mans","http://dioceselemans.cef.fr/","FR","Pays de la Loire",47.7632836,-0.3299687,"2018-03-18 23:12:34",
878,"lp","Le Puy","http://catholique-lepuy.cef.fr/","FR","Auvergne-Rhône-Alpes",45.7032695,3.3448536,"2018-03-18 23:12:34",
879,"lr","La Rochelle - Saintes","http://catholique-larochelle.cef.fr/","FR","Nouvelle-Aquitaine",45.903552,-0.3091837,"2018-03-18 23:12:34",
880,"ls","Limoges","http://catholique-limoges.cef.fr/","FR","Nouvelle-Aquitaine",45.8932231,1.5696018,"2018-03-18 23:12:34",
881,"lu","Luçon","http://vendee.catholique.fr/","FR","Pays de la Loire",47.7632836,-0.3299687,"2018-03-18 23:12:34",
882,"lv","Laval","http://www.diocese-laval.fr/","FR","Pays de la Loire",47.7632836,-0.3299687,"2018-03-18 23:12:34",
883,"ly","Lyon","http://www.lyon.catholique.fr","FR","Auvergne-Rhône-Alpes",45.1695797,5.4502821,"2018-03-18 23:12:34",
884,"ma","Marseille","http://www.marseille.catholique.fr","FR","Provence-Alpes-Côte d'Azur",43.9351691,6.0679194,"2018-03-18 23:12:34",
885,"md","Mende","http://catholozere.cef.fr/","FR","Occitanie",43.5912356,3.2583626,"2018-03-18 23:12:34",
886,"me","Metz","http://www.metz.catholique.fr","FR","Grand Est",48.8744233,6.2080932,"2018-03-18 23:12:34",
887,"mf","Mission de France","http://catholique-mission-de-france.cef.fr/",,,,,"2018-03-18 23:12:34",
888,"ml","Moulins","http://catholique-moulins.cef.fr/","FR","Auvergne-Rhône-Alpes",45.7032695,3.3448536,"2018-03-18 23:12:34",
889,"mn","Fort de France (Martinique)","http://martinique.catholique.fr","MQ","Fort-de-France",14.6160647,-61.0587804,"2018-03-18 23:12:34",
890,"mo","Monaco","http://www.eglise-catholique.mc","FR","Provence-Alpes-Côte d'Azur",43.9351691,6.0679194,"2018-03-18 23:12:34",
891,"mp","Diocèse de Montpellier","http://catholique-montpellier.cef.fr/","FR","Occitanie",43.5912356,3.2583626,"2018-03-18 23:12:34",
892,"mt","Montauban","http://catholique-montauban.cef.fr/","FR","Occitanie",44.0859426,1.5208624,"2018-03-18 23:12:34",
893,"mx","Meaux","http://eglisecatho-meaux.cef.fr","FR","Île-de-France",48.8499198,2.6370411,"2018-03-18 23:12:34",
896,"nc","Nice","http://www.nice.catholique.fr/","FR","Provence-Alpes-Côte d'Azur",43.9351691,6.0679194,"2018-03-18 23:12:34",
897,"ni","Nîmes - Uzès - Alès","http://www.nimes-catholique.fr","FR","Occitanie",43.5912356,3.2583626,"2018-03-18 23:12:34",
898,"nl","National","http://www.eglise.catholique.fr",,,,,"2018-03-18 23:12:34",
899,"no","Nouméa (Nouvelle Calédonie)","http://www.ddec.nc/diocese/","NC","South Province",-22.2558234,166.4505243,"2018-03-18 23:12:34",
900,"nt","Nanterre","http://catholique-nanterre.cef.fr/","FR","Île-de-France",48.8499198,2.6370411,"2018-03-18 23:12:34",
901,"nv","Nevers","http://www.nievre.catholique.fr/","FR","Bourgogne-Franche-Comté",47.0525047,4.3837215,"2018-03-18 23:12:34",
902,"ny","Nancy et Toul","http://www.catholique-nancy.fr","FR","Grand Est",48.8744233,6.2080932,"2018-03-18 23:12:34",
903,"oc","Ordinariat des catholiques des églises orientales","http://www.paris.catholique.fr/-Ordinariat-des-catholiques-des-.html",,,,,"2018-03-18 23:12:34",
904,"or","Orléans","http://www.orleans.catholique.fr/","FR","Centre-Val de Loire",47.7515686,1.6750631,"2018-03-18 23:12:34",
905,"pa","Paris","http://www.paris.catholique.fr/","FR","Île-de-France",48.8499198,2.6370411,"2018-03-18 23:12:34",
906,"pe","Perpignan","http://www.perpignan.catholique.fr","FR","Occitanie",43.5912356,3.2583626,"2018-03-18 23:12:34",
907,"pi","Saint Pierre et Miquelon","http://www.cheznoo.net/paroissecatholiqueSPM/","PM","",46.8852,-56.3159,"2018-03-18 23:12:34",
908,"pm","Pamiers","http://ariege-catholique.cef.fr/","FR","Occitanie",44.0859426,1.5208624,"2018-03-18 23:12:34",
909,"po","Poitiers","http://www.poitiers-catholique.fr/","FR","Nouvelle-Aquitaine",45.903552,-0.3091837,"2018-03-18 23:12:34",
910,"pp","Papeete (Tahiti)","http://www.diocese-de-papeete.com/","PF","Windward Islands",-17.5516251,-149.5584758,"2018-03-18 23:12:34",
911,"ps","Périgueux - Sarlat","http://www.diocese24.fr/","FR","Nouvelle-Aquitaine",44.7002222,-0.2995785,"2018-03-18 23:12:34",
912,"pt","Pontoise","http://www.catholique95.com","FR","Île-de-France",48.8499198,2.6370411,"2018-03-18 23:12:34",
913,"qu","Quimper - Léon","http://diocese-quimper.fr","FR","Brittany",48.2020471,-2.9326435,"2018-03-18 23:12:34",
914,"re","Reims","http://catholique-reims.cef.fr/","FR","Grand Est",48.7934092,4.4725249,"2018-03-18 23:12:34",
915,"rn","Rennes","http://www.rennes.catholique.fr/","FR","Brittany",48.2020471,-2.9326435,"2018-03-18 23:12:34",
916,"ro","Rouen","http://www.rouen.catholique.fr","FR","Normandy",49.524641,0.8828329,"2018-03-18 23:12:34",
917,"ru","Saint-Denis de la Réunion","http://www.diocese-reunion.com/","RE","Saint-Denis",-20.8906596,55.4550536,"2018-03-18 23:12:34",
918,"rv","Rodez - Vabres","http://www.rodez.catholique.fr","FR","Occitanie",44.0859426,1.5208624,"2018-03-18 23:12:34",
919,"sf","Saint-Flour","http://catholique-saint-flour.cef.fr/","FR","Auvergne-Rhône-Alpes",45.7032695,3.3448536,"2018-03-18 23:12:34",
920,"sl","Soissons - Laon - Saint-Quentin","http://soissons.catholique.fr/","FR","Hauts-de-France",49.6636127,2.5280732,"2018-03-18 23:12:34",
921,"ss","Sens & Auxerre","http://www.yonne.catholique.fr/","FR","Bourgogne-Franche-Comté",47.0525047,4.3837215,"2018-03-18 23:12:34",
922,"st","Strasbourg","http://www.diocese-alsace.fr/","FR","Grand Est",48.3181795,7.4416241,"2018-03-18 23:12:34",
923,"sz","Séez","http://diocesedeseez.cef.fr/","FR","Normandy",48.8788472,-0.5157492,"2018-03-18 23:12:34",
924,"ta","Taiohae, île Marquises (Polynésie française)","http://www.catholic.pf/","PF","Marquesas Islands",-8.9065496,-140.1035228,"2018-03-18 23:12:34",
925,"tl","Tarbes - Lourdes","http://catholique65.fr","FR","Occitanie",44.0859426,1.5208624,"2018-03-18 23:12:34",
926,"to","Tours","http://www.diocesedetours.catholique.fr","FR","Centre-Val de Loire",47.7515686,1.6750631,"2018-03-18 23:12:34",
927,"tr","Troyes","http://catholique-troyes.cef.fr/","FR","Grand Est",48.7934092,4.4725249,"2018-03-18 23:12:34",
928,"ts","Toulouse","http://toulouse.catholique.fr","FR","Occitanie",44.0859426,1.5208624,"2018-03-18 23:12:34",
929,"tu","Tulle","http://www.correze.catholique.fr","FR","Nouvelle-Aquitaine",45.8932231,1.5696018,"2018-03-18 23:12:34",
930,"va","Vannes","http://www.vannes.catholique.fr/","FR","Brittany",48.2020471,-2.9326435,"2018-03-18 23:12:34",
931,"vd","Verdun","http://catholique-verdun.cef.fr/","FR","Grand Est",48.8744233,6.2080932,"2018-03-18 23:12:34",
932,"ve","Versailles","http://catholique-versailles.cef.fr","FR","Île-de-France",48.8499198,2.6370411,"2018-03-18 23:12:34",
933,"vl","Valence","http://catholique-valence.cef.fr/","FR","Auvergne-Rhône-Alpes",45.1695797,5.4502821,"2018-03-18 23:12:34",
934,"vv","Viviers","http://www.ardeche.catholique.fr","FR","Auvergne-Rhône-Alpes",45.1695797,5.4502821,"2018-03-18 23:12:34",
935,"wf","Wallis et Futuna","http://www.ddec.nc/diocese/","WF",,-14.2938,-178.1165,"2018-03-18 23:12:34","2018-03-18 22:10:43"
